YEAR	DAY	HOUR	MINUTE	SECOND	CDP	SOU_X	SOU_Y
2020	285	11	59	25	753	597130.35424	10645961.30872
2020	285	11	59	27	754	597134.49887	10645964.14435
2020	285	11	59	29	756	597138.64135	10645967.01360
2020	285	11	59	31	758	597142.80972	10645969.89455
2020	285	11	59	33	759	597146.95313	10645972.78747
2020	285	11	59	35	761	597151.09566	10645975.65796
2020	285	11	59	37	763	597155.24761	10645978.52971
2020	285	11	59	39	764	597159.41424	10645981.40496
2020	285	11	59	41	766	597163.55920	10645984.29823
2020	285	11	59	43	767	597167.71377	10645987.16176
2020	285	11	59	45	769	597171.89992	10645989.98231
2020	285	11	59	47	771	597176.05161	10645992.83565
2020	285	11	59	49	772	597180.19478	10645995.66473
2020	285	11	59	51	774	597184.35561	10645998.48564
2020	285	11	59	53	775	597188.51634	10646001.25796
2020	285	11	59	55	777	597192.67392	10646004.04256
2020	285	11	59	57	779	597196.81919	10646006.81266
2020	285	11	59	59	780	597200.99990	10646009.55881
2020	285	12	0	1	782	597205.15409	10646012.32243
2020	285	12	0	3	783	597209.33009	10646015.05614
2020	285	12	0	5	785	597213.51098	10646017.81260
2020	285	12	0	7	787	597217.69219	10646020.55816
2020	285	12	0	9	788	597221.87626	10646023.29680
2020	285	12	0	11	790	597226.04939	10646026.04138
2020	285	12	0	13	791	597230.24693	10646028.76496
2020	285	12	0	15	793	597234.42254	10646031.49927
2020	285	12	0	17	795	597238.59250	10646034.20590
2020	285	12	0	19	796	597242.75820	10646036.93650
2020	285	12	0	21	798	597246.91166	10646039.66176
2020	285	12	0	23	799	597251.06155	10646042.38358
2020	285	12	0	25	801	597255.18184	10646045.12652
2020	285	12	0	27	803	597259.32581	10646047.85357
2020	285	12	0	29	804	597263.44934	10646050.62277
2020	285	12	0	31	806	597267.58131	10646053.35315
2020	285	12	0	33	807	597271.72505	10646056.09868
2020	285	12	0	35	809	597275.88900	10646058.84549
2020	285	12	0	37	811	597280.05987	10646061.59573
2020	285	12	0	39	812	597284.21558	10646064.34443
2020	285	12	0	41	814	597288.39492	10646067.06944
2020	285	12	0	43	815	597292.55278	10646069.84269
2020	285	12	0	45	817	597296.70883	10646072.61502
2020	285	12	0	47	819	597300.86038	10646075.39705
2020	285	12	0	49	820	597304.99362	10646078.17770
2020	285	12	0	51	822	597309.09528	10646080.98957
2020	285	12	0	53	823	597313.17941	10646083.82670
2020	285	12	0	55	825	597317.26649	10646086.68058
2020	285	12	0	57	827	597321.30816	10646089.54873
2020	285	12	0	59	828	597325.31601	10646092.41384
2020	285	12	1	1	830	597329.32451	10646095.31496
2020	285	12	1	3	831	597333.34466	10646098.21346
2020	285	12	1	5	833	597337.36582	10646101.10761
2020	285	12	1	7	834	597341.37067	10646103.95867
2020	285	12	1	9	836	597345.38295	10646106.81901
2020	285	12	1	11	838	597349.40989	10646109.68445
2020	285	12	1	13	839	597353.45313	10646112.51986
2020	285	12	1	15	841	597357.47069	10646115.35436
2020	285	12	1	17	842	597361.51686	10646118.14504
2020	285	12	1	19	844	597365.56862	10646120.96624
2020	285	12	1	21	845	597369.62294	10646123.77947
2020	285	12	1	23	847	597373.68341	10646126.57085
2020	285	12	1	25	849	597377.74332	10646129.35247
2020	285	12	1	27	850	597381.82195	10646132.12875
2020	285	12	1	29	852	597385.88053	10646134.93937
2020	285	12	1	31	853	597389.98148	10646137.71548
2020	285	12	1	33	855	597394.07749	10646140.49568
2020	285	12	1	35	857	597398.19284	10646143.25740
2020	285	12	1	37	858	597402.29490	10646146.01894
2020	285	12	1	39	860	597406.38829	10646148.80365
2020	285	12	1	41	861	597410.49908	10646151.57634
